# Radius 	finiterdf__H_Water_H_Water	rdf__H_Water_H_Water	finiterdf__H_Water_O_Water	rdf__H_Water_O_Water	finiterdf__O_Water_O_Water	rdf__O_Water_O_Water	
5.23172 0.965463	0.96574	1.01365	1.01375	0.973841	0.974474	
5.2522 0.963955	0.964222	1.0154	1.0155	0.971077	0.9717	
5.27267 0.96305	0.963306	1.01594	1.01605	0.967015	0.967627	
5.29315 0.962526	0.962771	1.01789	1.018	0.961374	0.961971	
5.31362 0.961619	0.961852	1.01866	1.01878	0.955557	0.956137	
5.3341 0.961374	0.961596	1.01997	1.02009	0.951713	0.952277	
5.35458 0.960371	0.960581	1.02034	1.02048	0.947385	0.94793	
5.37505 0.961616	0.961815	1.01989	1.02003	0.939666	0.940189	
5.39553 0.960629	0.960815	1.02118	1.02133	0.936521	0.937024	
5.41601 0.960481	0.960655	1.02096	1.02111	0.934527	0.93501	
5.43648 0.962832	0.962995	1.02124	1.0214	0.928953	0.929411	
5.45696 0.961395	0.961546	1.02076	1.02093	0.923655	0.924088	
5.47744 0.962833	0.962973	1.02037	1.02054	0.922838	0.923248	
5.49791 0.962666	0.962794	1.02117	1.02135	0.917364	0.917746	
5.51839 0.964888	0.965005	1.01929	1.01948	0.9153	0.915656	
5.53886 0.966228	0.966335	1.01908	1.01927	0.911397	0.911724	
5.55934 0.966364	0.966459	1.01767	1.01787	0.911416	0.911716	
5.57982 0.968553	0.968638	1.017	1.01721	0.909483	0.909754	
5.60029 0.970174	0.970249	1.01608	1.01629	0.905052	0.905292	
5.62077 0.971337	0.971403	1.01561	1.01583	0.907388	0.9076	
5.64125 0.973076	0.973133	1.01341	1.01363	0.905391	0.905573	
5.66172 0.974043	0.974092	1.01274	1.01296	0.904798	0.90495	
5.6822 0.97612	0.97616	1.01056	1.01079	0.903929	0.90405	
5.70268 0.977305	0.977337	1.00861	1.00884	0.905244	0.905335	
5.72315 0.979692	0.979717	1.00724	1.00748	0.907596	0.907657	
5.74363 0.981663	0.981682	1.00512	1.00535	0.907876	0.907907	
5.76411 0.983288	0.983301	1.00297	1.0032	0.909442	0.909443	
5.78458 0.984009	0.984016	1.00152	1.00176	0.910993	0.910964	
5.80506 0.986089	0.986091	0.998892	0.999127	0.913096	0.913038	
5.82553 0.988235	0.988233	0.996037	0.996271	0.91466	0.914573	
5.84601 0.989547	0.989541	0.994539	0.99477	0.918912	0.918796	
5.86649 0.991069	0.991059	0.992367	0.992595	0.920675	0.920531	
5.88696 0.992586	0.992573	0.990494	0.990718	0.92391	0.923739	
5.90744 0.99407	0.994055	0.98806	0.988279	0.92717	0.926972	
5.92792 0.995625	0.995608	0.986119	0.986332	0.931497	0.931274	
5.94839 0.997673	0.997656	0.984186	0.984393	0.936404	0.936156	
5.96887 0.998342	0.998323	0.981871	0.98207	0.940735	0.940464	
5.98935 0.998876	0.998857	0.979744	0.979935	0.941932	0.941639	
6.00982 1.00086	1.00084	0.977584	0.977767	0.945547	0.945233	
6.0303 1.00095	1.00093	0.976856	0.97703	0.949957	0.949622	
6.05077 1.00244	1.00242	0.97516	0.975323	0.954281	0.953926	
6.07125 1.00247	1.00246	0.973806	0.973958	0.958129	0.957757	
6.09173 1.0038	1.00378	0.972344	0.972485	0.960657	0.960269	
6.1122 1.00386	1.00384	0.97194	0.97207	0.964674	0.96427	
6.13268 1.00427	1.00426	0.969912	0.97003	0.969015	0.968596	
6.15316 1.00456	1.00455	0.970363	0.970469	0.971368	0.970937	
6.17363 1.00512	1.00511	0.968798	0.968892	0.976488	0.976044	
6.19411 1.006	1.00599	0.968481	0.968561	0.980321	0.979867	
6.21459 1.00621	1.0062	0.968634	0.968701	0.983097	0.982635	
6.23506 1.00505	1.00505	0.968074	0.968128	0.988002	0.987532	
6.25554 1.00555	1.00555	0.967535	0.967576	0.990247	0.989771	
6.27601 1.00554	1.00554	0.967358	0.967384	0.993565	0.993084	
6.29649 1.00379	1.0038	0.968281	0.968294	0.997612	0.997129	
6.31697 1.00484	1.00485	0.969161	0.969161	0.999655	0.99917	
6.33744 1.00467	1.00468	0.968026	0.968012	1.00375	1.00326	
6.35792 1.00389	1.00391	0.969739	0.969712	1.00726	1.00677	
6.3784 1.00424	1.00426	0.970115	0.970075	1.01069	1.01021	
6.39887 1.0037	1.00371	0.971491	0.971438	1.01289	1.01242	
6.41935 1.00333	1.00335	0.972054	0.971989	1.01594	1.01547	
6.43983 1.00274	1.00276	0.972516	0.972439	1.01767	1.0172	
6.4603 1.00278	1.0028	0.974186	0.974096	1.02095	1.0205	
6.48078 1.00182	1.00185	0.974388	0.974287	1.02305	1.0226	
6.50126 1.00187	1.00189	0.975999	0.975887	1.02534	1.02491	
6.52173 1.00121	1.00124	0.977144	0.977021	1.02655	1.02613	
6.54221 0.999593	0.999615	0.977834	0.9777	1.02816	1.02775	
6.56268 1.00045	1.00047	0.979205	0.979061	1.03174	1.03134	
6.58316 0.999243	0.999265	0.981755	0.981602	1.03364	1.03326	
6.60364 0.999611	0.999633	0.98319	0.983029	1.03473	1.03437	
6.62411 0.998762	0.998784	0.98354	0.983371	1.03575	1.03541	
6.64459 0.998413	0.998434	0.985382	0.985205	1.03768	1.03735	
6.66507 0.997599	0.997619	0.987391	0.987207	1.03864	1.03834	
6.68554 0.998034	0.998053	0.988525	0.988336	1.04017	1.03988	
6.70602 0.997596	0.997614	0.990241	0.990046	1.04179	1.04153	
6.7265 0.997432	0.997448	0.990972	0.990773	1.04048	1.04024	
6.74697 0.997549	0.997565	0.99298	0.992777	1.04136	1.04114	
6.76745 0.997736	0.99775	0.993878	0.993671	1.04138	1.04118	
6.78792 0.997732	0.997744	0.996234	0.996025	1.04178	1.0416	
6.8084 0.996994	0.997005	0.9974	0.997189	1.04291	1.04276	
6.82888 0.997155	0.997165	0.999352	0.99914	1.04434	1.04421	
6.84935 0.996759	0.996767	0.999544	0.999332	1.04353	1.04342	
6.86983 0.996941	0.996947	1.00168	1.00147	1.04349	1.04341	
6.89031 0.997111	0.997116	1.00312	1.00291	1.04257	1.04252	
6.91078 0.996869	0.996872	1.00428	1.00408	1.04218	1.04215	
6.93126 0.997394	0.997396	1.0055	1.00529	1.04238	1.04236	
6.95174 0.998072	0.998073	1.00602	1.00582	1.04161	1.04162	
6.97221 0.997398	0.997397	1.00703	1.00683	1.04038	1.04042	
6.99269 0.997836	0.997835	1.00944	1.00925	1.04124	1.0413	
7.01317 0.997851	0.997848	1.01041	1.01022	1.03975	1.03983	
7.03364 0.998961	0.998957	1.01052	1.01033	1.03762	1.03772	
7.05412 0.998827	0.998823	1.0124	1.01223	1.03581	1.03594	
7.07459 0.998593	0.998588	1.01387	1.01371	1.03486	1.03501	
7.09507 0.998696	0.99869	1.0145	1.01434	1.0341	1.03427	
7.11555 0.99922	0.999214	1.01471	1.01455	1.03342	1.0336	
7.13602 0.999934	0.999927	1.01611	1.01597	1.03087	1.03107	
7.1565 0.999783	0.999776	1.01693	1.0168	1.03092	1.03114	
7.17698 0.999624	0.999617	1.01749	1.01737	1.02954	1.02977	
7.19745 0.999553	0.999546	1.01808	1.01797	1.02747	1.02772	
7.21793 1.00067	1.00066	1.01881	1.01871	1.02526	1.02553	
7.23841 1.00103	1.00102	1.01943	1.01934	1.02454	1.02482	
7.25888 1.00088	1.00088	1.0194	1.01932	1.02147	1.02177	
7.27936 1.00177	1.00176	1.02044	1.02037	1.02106	1.02137	
7.29983 1.00145	1.00145	1.02053	1.02048	1.01806	1.01838	
7.32031 1.00204	1.00204	1.0209	1.02086	1.01691	1.01724	
7.34079 1.00218	1.00218	1.02099	1.02097	1.01535	1.01569	
7.36126 1.00271	1.00271	1.02152	1.02151	1.01369	1.01403	
7.38174 1.00225	1.00226	1.02211	1.02211	1.01197	1.01233	
7.40222 1.00299	1.00299	1.02177	1.02178	1.01049	1.01085	
7.42269 1.00347	1.00348	1.02126	1.02129	1.00884	1.00921	
7.44317 1.00341	1.00341	1.0217	1.02174	1.00779	1.00816	
7.46365 1.00344	1.00345	1.02163	1.02168	1.0057	1.00607	
7.48412 1.00363	1.00364	1.02101	1.02107	1.00494	1.00532	
7.5046 1.00513	1.00515	1.0214	1.02148	1.00203	1.00241	
7.52507 1.00485	1.00487	1.0203	1.0204	1.0014	1.00178	
7.54555 1.00396	1.00399	1.02035	1.02046	1.0003	1.00068	
7.56603 1.00467	1.0047	1.02037	1.02049	0.999223	0.999601	
7.5865 1.0052	1.00523	1.01999	1.02013	0.998169	0.998545	
7.60698 1.00487	1.0049	1.01974	1.01989	0.996165	0.996539	
7.62746 1.00479	1.00483	1.01912	1.01928	0.996598	0.99697	
7.64793 1.00532	1.00536	1.01796	1.01814	0.99459	0.994957	
7.66841 1.00518	1.00522	1.01791	1.01809	0.994087	0.994451	
7.68889 1.00554	1.00559	1.01722	1.01742	0.992989	0.993348	
7.70936 1.00571	1.00576	1.01658	1.0168	0.992328	0.992682	
7.72984 1.00589	1.00594	1.01578	1.01601	0.991052	0.991399	
7.75032 1.00638	1.00644	1.01479	1.01502	0.990053	0.990393	
7.77079 1.00668	1.00674	1.0142	1.01444	0.990238	0.990572	
7.79127 1.00615	1.00622	1.01319	1.01345	0.989398	0.989724	
7.81174 1.00683	1.0069	1.01247	1.01274	0.988108	0.988426	
7.83222 1.00664	1.00671	1.01192	1.01219	0.986881	0.987189	
7.8527 1.00605	1.00613	1.01094	1.01122	0.987602	0.987902	
7.87317 1.00651	1.00659	1.00934	1.00963	0.987969	0.988261	
7.89365 1.00713	1.00722	1.00894	1.00924	0.986711	0.986993	
7.91413 1.00749	1.00759	1.00829	1.00859	0.987438	0.987712	
7.9346 1.00743	1.00754	1.00716	1.00746	0.98579	0.986053	
7.95508 1.00625	1.00636	1.00643	1.00674	0.986616	0.98687	
7.97556 1.00664	1.00675	1.00568	1.00599	0.986849	0.987094	
7.99603 1.00655	1.00667	1.00446	1.00478	0.987272	0.987508	
8.01651 1.0079	1.00802	1.00342	1.00374	0.985377	0.985602	
8.03698 1.0066	1.00673	1.00338	1.0037	0.987114	0.98733	
8.05746 1.00599	1.00613	1.0025	1.00282	0.98713	0.987337	
8.07794 1.00644	1.00658	1.00147	1.00179	0.987849	0.988046	
8.09841 1.00661	1.00676	1.00001	1.00033	0.987311	0.987499	
8.11889 1.00619	1.00634	0.999563	0.999886	0.987516	0.987695	
8.13937 1.00645	1.0066	0.998954	0.999276	0.986269	0.986437	
8.15984 1.00572	1.00588	0.997377	0.997696	0.987018	0.987177	
8.18032 1.0056	1.00577	0.997386	0.997704	0.987755	0.987904	
8.2008 1.0052	1.00536	0.995548	0.995862	0.988903	0.989043	
8.22127 1.00565	1.00583	0.995854	0.996166	0.989232	0.989364	
8.24175 1.00585	1.00603	0.994917	0.995224	0.990505	0.99063	
8.26223 1.00419	1.00437	0.994356	0.994659	0.989995	0.990112	
8.2827 1.00472	1.0049	0.994019	0.994317	0.989429	0.989538	
8.30318 1.00428	1.00447	0.992896	0.993188	0.990911	0.991013	
8.32365 1.00354	1.00373	0.992725	0.993012	0.990569	0.990663	
8.34413 1.00394	1.00413	0.992075	0.992355	0.991713	0.991801	
8.36461 1.00359	1.00379	0.992073	0.992347	0.992242	0.992324	
8.38508 1.00281	1.00301	0.991388	0.991654	0.99097	0.991044	
8.40556 1.0028	1.003	0.991183	0.991442	0.993475	0.993544	
8.42604 1.00271	1.00291	0.99031	0.990561	0.994371	0.994435	
8.44651 1.00179	1.002	0.990125	0.990369	0.994081	0.99414	
